"Carimbo de data/hora","Título","Que nota daria para o filme?","Categoria","Comentário"
"2022/08/11 7:58:12 PM GMT-3","Matrix","5","Romance;Ação;Drama","Melhor filme de 1999, obra prima das irmãs Wachowski."
"2022/08/11 7:58:37 PM GMT-3","Herói de brinquedo","3","Comédia;Ação",""
"2022/08/11 7:59:58 PM GMT-3","Bacurau","5","Ação;Terror;Drama","Incrível obra de Kleber Mendonça Filho."
"2022/08/16 8:37:21 AM GMT-3","Jumanji (1995)","5","Comédia;Ação","Esse filme mostra macacos vândalos."
"2022/08/16 8:37:23 AM GMT-3","Lady bird ","5","Comédia;Drama",""
"2022/08/16 8:37:24 AM GMT-3","Kung Fu Panda 2","5","Comédia;Ação;Animação","Jack Black"
"2022/08/16 8:38:05 AM GMT-3","Barbie ","5","Comédia;Romance;Animação","Filme infantil "
"2022/08/16 8:38:30 AM GMT-3","O lobo de wall street","4","Comédia;Drama",""
"2022/08/16 8:39:09 AM GMT-3","Pi (1998)","5","Ação;Drama","Fractais são apresentados nesse filme."
"2022/08/16 8:39:11 AM GMT-3","Garota exemplar","5","Drama","Ótimo suspense psicológico, atriz principal indicada ao Oscar de melhor atriz em 2015"
"2022/08/16 8:39:16 AM GMT-3","School of Rock","5","Comédia","Jack Black"
"2022/08/16 8:39:26 AM GMT-3","De repente 30","5","Comédia;Romance","Filme de romance de uma adolescente que sonha em ter 30 anos"
"2022/08/16 8:40:10 AM GMT-3","Continência do amor ","4","Romance;Drama",""
"2022/08/16 8:40:14 AM GMT-3","Rei Leão","5","Comédia;Animação",""
"2022/08/16 8:40:20 AM GMT-3","Divertida mente ","5","Animação",""
"2022/08/16 8:40:35 AM GMT-3","miss americana","5","Drama",""
"2022/08/16 8:40:58 AM GMT-3","A Múmia (1999)","4","Comédia;Ação",""
"2022/08/16 8:41:34 AM GMT-3","Ate q a sorte nos separe","5","Comédia",""
"2022/08/16 8:41:59 AM GMT-3","Senhor dos Anéis - O Retorno do Rei","5","Ação","Sam = MVP"
"2022/08/16 8:42:01 AM GMT-3","O Exorcista (1973)","5","Terror","Clássico, pode assustar até hoje, quase 50 anos depois"
"2022/08/16 8:42:05 AM GMT-3","Toy story","5","Animação",""
"2022/08/16 8:42:07 AM GMT-3","Minha mae é uma peça ","5","Comédia","A história de uma mãe "
"2022/08/16 8:42:22 AM GMT-3","Toy story 2","5","Animação","Amigo"
"2022/08/16 8:42:35 AM GMT-3","Toy story 3","5","Animação","Estou"
"2022/08/16 8:42:52 AM GMT-3","Toy story 4 ","5","Animação","Aqui"
"2022/08/16 8:43:47 AM GMT-3","Emoji o filme","2","Animação",""
"2022/08/16 8:44:16 AM GMT-3","Star Wars - A Ameaça Fantasma","4","Ação","Menos três pontos pelo Jar Jar Binks, mais dois pontos pela Natalie Portman e Duel of Fates"
"2022/08/16 8:44:57 AM GMT-3","Gabrielq","1","Drama","Insuportavel"
"2022/08/16 8:45:42 AM GMT-3","Minha mae e uma peça 1","5","Comédia",""
"2022/08/16 8:46:23 AM GMT-3","Minha mae e uma peça 2","5","Comédia",""
"2022/08/16 8:46:40 AM GMT-3","Minha mae e uma peça 3","5","Comédia",""
"2022/08/16 8:47:03 AM GMT-3","Piratas do caribe","4","Ação;Drama",""
"2022/08/16 8:47:40 AM GMT-3","Game of Death","5","Ação","Um dos melhores filmes do Bruce Lee"
"2022/08/16 8:48:16 AM GMT-3","Minha vida em marte","5","Comédia",""
"2022/08/16 8:48:35 AM GMT-3","Birdbox","2","Ação;Terror;Drama",""
"2022/08/16 8:48:46 AM GMT-3","Crepúsculo (2008)","1","Romance","Realmente ruim como dizem"
"2022/08/16 8:54:32 AM GMT-3","Eragon","1","Ação","O livro é ruim mas não tanto quanto esse filme"
"2022/08/16 8:56:09 AM GMT-3","Percy Jackson - O Ladrão de Raios","1","Comédia;Ação;Drama","O livro foi muito melhor"
"2022/08/16 8:57:02 AM GMT-3","O Sétimo Filho","1","Ação","Adaptado do livro O Aprendiz de Joseph Delaney, que foi muito melhor"
"2022/08/16 8:59:09 AM GMT-3","O Último Dominador de Ar","1","Ação;Drama","A animação é muito melhor"
"2022/08/16 9:12:44 AM GMT-3","365 dias","1","Romance",""
"2022/08/16 9:15:32 AM GMT-3","Flinstones","1","Comédia",""
"2022/08/16 9:25:07 AM GMT-3","Rei leao 3","4","Animação",""
"2022/08/16 9:25:27 AM GMT-3","Rambo","3","Ação",""
